도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
성내도서관,서울특별시,강동구,공공도서관,매주월요일,09:00,18:00,09:00,17:00,09:00,17:00,208,80820,58,0,6.0,14,"서울특별시 강동구 성안로 106-1 (성내동, 성내도서관)",서울특별시 강동구청,02-471-0044,402.8,1414.86,https://www.gdlibrary.or.kr,37.53284628,127.1333283,2023-08-18,3240000,서울특별시 강동구
해공도서관,서울특별시,강동구,공공도서관,매주화요일,09:00,18:00,09:00,17:00,09:00,17:00,214,87929,47,3133,6.0,14,"서울특별시 강동구 올림픽로 702 (천호동, 해공공원)",서울특별시 강동구청,02-478-9656,987,1766.93,https://www.gdlibrary.or.kr,37.54394767,127.1255384,2023-08-18,3240000,서울특별시 강동구
강일도서관,서울특별시,강동구,공공도서관,매주화요일,09:00,18:00,09:00,17:00,09:00,17:00,214,93459,30,3136,6.0,14,"서울특별시 강동구 아리수로93길 9-14,4,5층(강일동)",서울특별시 강동구청,02-427-4004,1252,1208.0,https://www.gdlibrary.or.kr,37.5650504,127.1739063,2023-08-18,3240000,서울특별시 강동구
암사도서관,서울특별시,강동구,공공도서관,매주월요일,09:00,18:00,09:00,17:00,09:00,17:00,391,93601,34,2069,6.0,14,"서울특별시 강동구 고덕로20길 42 (암사동, 암사도서관)",서울특별시 강동구청,02-429-0476,642,1759.05,https://www.gdlibrary.or.kr,37.5528007,127.1333457,2023-08-18,3240000,서울특별시 강동구
천호도서관,서울특별시,강동구,공공도서관,매주월요일,09:00,18:00,09:00,17:00,09:00,17:00,138,45727,12,506,6.0,14,"서울특별시 강동구 성안로31마길 1(천호동, 천호도서관)",서울특별시 강동구청,02-488-7223,2537.81,997.0,https://www.gdlibrary.or.kr,37.54052196,127.1340837,2023-08-18,3240000,서울특별시 강동구
둔촌도서관,서울특별시,강동구,공공도서관,매주화요일,09:00,18:00,09:00,17:00,09:00,17:00,221,18911,89,0,6.0,14,"서울특별시 강동구 동남로49길 21-8(둔촌동, 둔촌도서관)",서울특별시 강동구청,02-489-6557,793,996.95,https://www.gdlibrary.or.kr,37.5317359,127.1483674,2023-08-18,3240000,서울특별시 강동구
정읍시립신태인도서관,,,공공도서관,법정공휴일,08:00,23:59,08:00,23:59,08:00,23:59,100,56740,21,578,5.0,17,전북특별자치도 정읍시 신태인읍 신태인중앙로47,전북특별자치도 정읍시청,063-539-6442,3342,837.0,https://lib.jeongeup.go.kr,35.689748,126.8899813,2024-07-25,4691000,전북특별자치도 정읍시
정읍기적의도서관,,,공공도서관,법정공휴일,09:00,17:30,09:00,17:30,09:00,17:30,78,72972,22,386,5.0,17,전북특별자치도 정읍시 수성5로 45-5,전북특별자치도 정읍시청,063-539-6452,1688,1274.0,https://lib.jeongeup.go.kr,35.58427178,126.8606536,2024-07-25,4691000,전북특별자치도 정읍시
북면작은도서관,,,작은도서관,"토요일, 일요일, 공휴일",09:00,18:00,00:00,00:00,00:00,00:00,35,8727,0,0,5.0,17,전북특별자치도 정읍시 북면 정읍북로 534,주민자치(북면작은도서관 운영위원회),063-537-3561,,189.0,,35.6064496,126.8895788,2024-07-25,4691000,전북특별자치도 정읍시
상동작은도서관,,,작은도서관,"토요일, 일요일, 공휴일",10:00,19:00,00:00,00:00,00:00,00:00,25,11511,0,0,5.0,17,전북특별자치도 정읍시 학산로 97(우미아파트관리동 2층),주민자치(상동작은도서관 운영위원회),063-535-5845,,120.0,,35.55961209,126.8735572,2024-07-25,4691000,전북특별자치도 정읍시
